X,Y,objectid,crn,arrival_tm,automobile_count,belted_death_count,belted_susp_serious_inj_count,bicycle_count,bicycle_death_count,bicycle_susp_serious_inj_count,bus_count,chldpas_death_count,chldpas_susp_serious_inj_count,collision_type,comm_veh_count,cons_zone_spd_lim,county,crash_month,crash_year,day_of_week,dec_latitude,dec_longitude,dispatch_tm,district,driver_count_16yr,driver_count_17yr,driver_count_18yr,driver_count_19yr,driver_count_20yr,driver_count_50_64yr,driver_count_65_74yr,driver_count_75plus,est_hrs_closed,fatal_count,heavy_truck_count,horse_buggy_count,hour_of_day,illumination,injury_count,intersection_related_x,intersect_type,lane_closed,latitude,ln_close_dir,location_type,longitude,max_severity_level,mcycle_death_count,mcycle_susp_serious_inj_count,motorcycle_count,municipality,nonmotr_count,nonmotr_death_count,nonmotr_susp_serious_inj_count,ntfy_hiwy_maint,ped_count,ped_death_count,ped_susp_serious_inj_count,person_count,police_agcy,possible_inj_count,rdwy_surf_type_cd,relation_to_road,roadway_cleared,road_condition,sch_bus_ind,sch_zone_ind,secondary_crash,small_truck_count,spec_juris_cd,susp_minor_inj_count,susp_serious_inj_count,suv_count,tcd_func_cd,tcd_type,tfc_detour_ind,time_of_day,total_units,tot_inj_count,unbelted_occ_count,unb_death_count,unb_susp_serious_inj_count,unk_inj_deg_count,unk_inj_per_count,urban_rural,van_count,vehicle_count,weather1,weather2,workers_pres,work_zone_ind,work_zone_loc,work_zone_type,wz_close_detour,wz_flagger,wz_law_offcr_ind,wz_ln_closure,wz_moving,wz_other,wz_shlder_mdn,wz_workers_inj_killed,aggressive_driving,alcohol_related,angle_crash,atv,atv_route,backup_congestion,backup_nonrecurring,backup_prior,bicycle,cell_phone,child_passenger,comm_vehicle,core_network,cross_median,curved_road,curve_dvr_error,deer_related,distracted,drinking_driver,driver_16yr,driver_17yr,driver_18yr,driver_19yr,driver_20yr,driver_50_64yr,driver_65_74yr,driver_75plus,drugged_driver,drug_related,fatal,fatal_or_susp_serious_inj,fatigue_asleep,federal_aid_route,fire_in_vehicle,hazardous_truck,hit_barrier,hit_bridge,hit_deer,hit_embankment,hit_fixed_object,hit_gdrail,hit_gdrail_end,hit_parked_vehicle,hit_pole,hit_roadway_equipment,hit_run,hit_temp_construction_barrier,hit_traffic_island,hit_tree_shrub,hit_utility_pole,horse_buggy,ho_oppdir_sdswp,hvy_truck_related,icy_road,illegal_drug_related,illumination_dark,impaired_driver,impaired_nonmotorist,injury,injury_or_fatal,intersection,intersection_related_y,interstate,lane_departure,left_turn,limit_65mph,limit_70mph,local_road,local_road_only,marijuana_drugged_driver,marijuana_related,mature_driver,mc_drinking_driver,motorcycle,multiple_vehicle,nhtsa_agg_driving,non_intersection,no_clearance,opioid_related,other_freeway_expressway,overturned,pedestrian,phantom_vehicle,possible_injury,property_damage_only,psp_reported,ramp,ramp_segment,ramp_terminal,rear_end,roundabout,running_red_lt,running_stop_sign,rural,school_bus,school_bus_related,school_bus_unit,school_zone,shldr_related,signalized_int,single_vehicle,snowmobile,snow_slush_road,speeding,speeding_related,speed_change_lane,state_road,stop_controlled_int,sudden_deer,suspected_minor_injury,suspected_serious_injury,sv_run_off_rd,tailgating,train,train_trolley,trolley,turnpike,unbelted,underage_drnk_drv,unlicensed,unsignalized_int,urban,vehicle_failure,vehicle_towed,vulnerable_road_user,vulnerable_road_user_fatal,wet_road,work_zone,young_driver
-8367873.184,4854779.48,13757,2021070367,735,0,0,0,0,0,0,0,0,0,4,0,,67,7,2021,3,39.923132,-75.169882,730,6,0,0,0,0,0,0,0,0,,0,0,0,,,0,,1,,39 55:23.275,,0,75 10:11.576,0,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,,1,,1,N,N,N,0,,0,0,1,,1,,,2,0,2,0,0,0,0,2,1,2,,3,,N,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
-8367412.322,4854518.787,13758,2021071370,1236,1,0,0,0,0,0,0,0,0,5,0,,67,8,2021,1,39.921336,-75.165742,1235,6,0,0,0,0,0,0,0,0,,0,0,0,,,0,N,0,,39 55:16.810,,0,75 09:56.670,0,0,0,0,67301,0,0,0,N,0,0,0,1,67301,0,,6,,1,N,N,N,0,,0,0,3,,0,,,5,0,0,0,0,0,0,2,1,5,,3,,N,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
-8376522.823,4861419.448,13759,2021037383,2030,1,0,0,0,0,0,0,0,0,2,0,,67,4,2021,6,39.968861,-75.247583,2030,6,0,0,0,0,0,0,0,0,,0,0,0,,,1,N,0,,39 58:07.900,,0,75 14:51.300,3,0,0,0,67301,0,0,0,N,0,0,0,1,67301,0,,6,,1,N,N,N,0,,1,0,0,,0,,,2,1,0,0,0,0,0,2,1,2,,3,,N,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-8355596.868,4875244.343,13760,2021115276,1610,1,0,0,0,0,0,0,0,0,4,0,,67,11,2021,5,40.063974,-75.059602,1558,6,0,0,0,0,0,1,1,0,,0,0,0,,,0,,1,,40 03:50.306,,0,75 03:34.568,0,0,0,0,67301,0,0,0,N,0,0,0,3,67301,0,,1,,1,N,N,N,1,,0,0,0,,3,,,2,0,0,0,0,0,0,2,0,2,,3,,N,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
-8368253.007,4867261.133,13761,2021077508,1812,1,0,0,0,0,0,0,0,0,4,0,,67,7,2021,4,40.009067,-75.173294,1801,6,0,0,0,0,0,0,0,0,,0,0,0,,,1,N,0,,40 00:32.640,,7,75 10:23.860,8,0,0,1,67301,0,0,0,N,0,0,0,3,67301,0,,1,,1,N,N,N,0,,0,0,0,,0,,,2,1,0,0,0,1,1,2,0,2,,,,N,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-8355424.434,4873202.966,13762,2021070354,117,1,0,0,0,0,0,0,0,0,7,0,,67,7,2021,2,40.049938,-75.058053,115,6,0,0,0,0,0,0,0,0,,0,0,0,,,0,N,0,,40 02:59.777,,0,75 03:28.989,0,0,0,0,67301,0,0,0,N,0,0,0,3,67301,0,,4,,1,N,N,N,0,,0,0,0,,0,,,1,0,0,0,0,0,0,2,0,1,,3,,N,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
-8354727.463,4874304.03,13763,2021070352,1110,1,0,0,0,0,0,0,0,0,4,0,,67,7,2021,1,40.057509,-75.051792,1058,6,0,0,0,0,0,1,0,1,,0,0,0,,,1,,1,,40 03:27.032,3,0,75 03:06.451,8,0,0,0,67301,0,0,0,N,0,0,0,3,67301,0,,1,1145,1,N,N,N,1,,0,0,1,,3,N,,3,1,0,0,0,1,0,2,0,3,,,,N,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
-8371072.396,4858347.427,13764,2021114037,2051,0,0,0,0,0,0,0,0,0,4,1,,67,11,2021,1,39.947708,-75.198621,2046,6,0,0,0,0,0,2,0,0,,0,0,0,,,1,,2,,39 56:51.748,1,0,75 11:55.037,3,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,,1,2130,1,N,N,N,0,,1,0,1,,7,N,,2,1,0,0,0,0,0,2,0,2,,3,,N,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
-8376482.414,4861672.914,13765,2021072493,2130,1,0,0,0,0,0,0,0,0,4,0,,67,8,2021,3,39.970606,-75.24722,2128,6,0,0,0,0,0,0,0,0,,0,0,0,,,1,,1,,39 58:14.181,,0,75 14:49.991,8,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,,1,,1,N,N,N,0,,0,0,0,,3,,,2,1,0,0,0,1,1,2,0,2,,,,N,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
-8356324.452,4873385.474,13766,2021104953,,0,0,0,0,0,0,0,0,0,1,0,,67,4,2021,4,40.051193,-75.066138,,6,0,0,0,0,0,0,0,0,,0,0,0,,,3,,1,,40 03:04.296,,0,75 03:58.096,2,0,0,0,67301,0,0,0,N,0,0,0,4,0,0,,1,,1,N,N,N,0,,0,3,0,,2,,,2,3,0,0,0,0,0,2,0,2,,,,N,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-8369098.033,4854048.802,13767,2021070332,1017,0,0,0,0,0,0,0,0,0,4,0,,67,7,2021,3,39.918098,-75.180885,1017,6,0,0,0,0,0,0,0,0,,0,0,0,,,2,,1,,39 55:05.152,6,0,75 10:51.186,2,0,0,0,67301,0,0,0,N,0,0,0,2,67301,0,,1,1200,1,N,N,N,0,,1,1,2,,2,Y,,2,2,0,0,0,0,0,2,0,2,,,,N,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
